Id,Timezone
8AD99F52-661E-4C52-A5E2-00D7C60F38C1,America/Chicago
3D26C22E-5438-40C4-AA8C-01102C7FD755,America/Denver
AF06CF6C-35C9-4F1A-9539-0130EDFD1B00,America/Denver
7FF9AD5E-E507-4C0A-9F87-013597EB7E27,America/Los_Angeles
D5916CEB-7713-4EC2-827A-0136A4E588E9,America/Los_Angeles
20CBB0CB-EFA4-4619-BD03-0166FFF199AE,America/Denver
4C1F72D5-3724-4445-86BC-018E9D4FCAE1,America/Chicago
CC50A510-C800-4039-AB7F-01C67B3A4186,America/Phoenix
91704A9F-2C4F-439E-8172-01E5335B3253,America/Chicago
5EFFDC34-EEBB-4DB9-B2F2-01EBED86A30E,America/Denver
F45C27BF-24ED-40AC-9961-02BF2690D628,America/Denver
370BE05D-0A5B-4E29-BEE4-02FBE8128847,America/Chicago
FED332F0-8CF8-41E5-AE3A-0314D1B69CD9,America/Chicago
2D018F4D-23DB-42BC-85E0-0332F4389C27,America/New_York
3D87C2DF-EDEA-4915-8FDE-0351C50B56C6,America/Denver
4E949F9D-A5C6-42B4-8223-038860FCF16E,America/New_York
4C8877FF-CAE2-47FD-9C19-03A6B7BABC25,America/New_York
2E30C69C-C547-49B9-9D53-03F3523E5CEC,America/Los_Angeles
253CD30E-4179-44AE-AB05-0463377781E2,America/Los_Angeles
04F86C00-5ED3-4967-9D1C-04697176C73B,America/New_York
280123D5-475C-43D2-8F94-052D95FA5C78,America/Los_Angeles
072D673D-7027-4095-A82B-0582F7FEB344,America/New_York
FAC91DC6-55B9-48F9-B703-05832D08049C,America/Denver
436185D7-AF17-4C0B-B0F9-060A91A73EF3,America/New_York
BEEDF754-A703-476B-896E-064E48F1D10C,America/Toronto
B6478AB7-4C53-4BA0-A3A6-0660E5E98992,America/Phoenix
59C4AD78-89EA-4019-9A33-0678046678E5,America/Los_Angeles
75B0843A-7B77-4081-BF1C-0699B38ADBBA,America/Denver
725F88CD-8350-404C-977F-06C8E83CFACB,America/Denver
648CCBD3-A6C4-4636-8D75-0701B488FFA5,America/Denver
35061722-BCD2-4AF0-98E6-070B8EF11332,America/Los_Angeles
F7F54601-3E0D-44AF-B9C8-0713097F1990,America/Chicago
C81A4DCA-AE32-4B1F-8C90-07F923314A01,America/Denver
073F0817-BDBA-4CD6-A3DB-082F252ABD6E,America/New_York
DB6737FB-3D7B-4768-A963-0856AD422C4E,America/Denver
5DAF45DF-4EFA-4E5F-80A7-0899945B7BB5,America/Denver
